,close,volume,vwap,changeOverTime
2020-05-05,147.39,2026139.0,148.16667,-0.01668
2020-05-04,148.4,2229100.0,147.67333,-0.00094
2020-05-01,148.6,2926400.0,148.79,-0.00469
2020-04-30,151.92,3667800.0,152.87,-0.01549
2020-04-29,156.26,3987100.0,157.21667,-0.01438
2020-04-28,157.61,8294100.0,158.63,-0.01512
2020-04-27,153.65,4644900.0,152.01,0.03818
2020-04-24,147.0,2247100.0,146.21667,0.01261
2020-04-23,144.33,2585300.0,145.26333,-0.00173
2020-04-22,143.61,2750400.0,143.26667,0.00174
2020-04-21,141.63,2331100.0,141.63333,-0.00436
2020-04-20,143.67,2893000.0,144.78,-0.00746
2020-04-17,146.46,5393100.0,146.58667,-0.00665
2020-04-16,144.9,4170400.0,144.86,-0.00255
2020-04-15,145.16,3043900.0,146.20333,-0.02045
2020-04-14,150.14,3318400.0,149.72333,0.00348
2020-04-13,146.4,2642300.0,146.76,-0.00746
2020-04-09,147.78,4784200.0,148.01667,-0.00458
2020-04-08,148.99,3071100.0,147.54,0.02237
2020-04-07,144.6,5496300.0,146.54667,-0.01966
2020-04-06,140.7,5639700.0,139.61667,0.0206
2020-04-03,133.79,3588300.0,134.71,-0.01632
2020-04-02,137.91,3990300.0,136.07333,0.04193
2020-04-01,133.14,3777600.0,133.33,0.00864
2020-03-31,136.51,3613700.0,137.21,0.00604
2020-03-30,137.74,3869500.0,135.60333,0.04151
2020-03-27,133.24,4262300.0,133.74,0.00309
2020-03-26,136.18,6717000.0,134.39,0.03331
2020-03-25,131.54,7742500.0,131.01,-0.01209
2020-03-24,132.72,9311700.0,129.05667,0.08529
2020-03-23,117.87,7934300.0,120.10333,-0.08029
2020-03-20,124.89,9589200.0,128.94667,-0.09546
2020-03-19,137.51,6365700.0,136.87333,-0.00145
2020-03-18,137.02,6860400.0,134.92667,0.06664
2020-03-17,134.44,6535400.0,133.60667,0.01895
2020-03-16,130.91,7440800.0,131.47333,0.00809
2020-03-13,141.68,6580300.0,138.12333,0.00475
2020-03-12,133.58,8215800.0,135.21,-0.04558
2020-03-11,147.24,4748200.0,147.81333,-0.01663
2020-03-10,153.3,5651700.0,150.52,0.02872
2020-03-09,144.06,8194400.0,145.69,-0.01726
2020-03-06,153.65,7155100.0,152.08667,0.02714
2020-03-05,151.41,5887000.0,151.77,0.00405
2020-03-04,153.98,5773800.0,151.32333,0.04734
2020-03-03,145.24,8296500.0,147.89333,-0.04723
2020-03-02,153.02,8026300.0,151.60667,0.0111
2020-02-28,149.24,11508700.0,150.65333,-0.03148
2020-02-27,150.16,8241600.0,151.53,-0.00708
2020-02-26,148.96,5152100.0,149.62333,-0.00408
2020-02-25,146.85,5263400.0,148.75333,-0.04214
2020-02-24,152.55,3635600.0,153.16,-0.0123
2020-02-21,156.93,3535300.0,157.21333,-0.00884
2020-02-20,158.56,3275100.0,159.48333,-0.00277
2020-02-19,159.34,2296400.0,159.39,0.00163
2020-02-18,158.88,2478900.0,159.15,-0.00923
2020-02-14,161.01,2233500.0,160.32333,0.00726
2020-02-13,159.76,3413900.0,160.21,-0.01236
2020-02-12,163.8,2736400.0,164.13667,-0.00268
2020-02-11,162.45,2275100.0,161.66333,0.00901
2020-02-10,160.15,2754800.0,160.09333,-0.00037
2020-02-07,160.08,2736200.0,160.54333,-0.00824
2020-02-06,162.89,3413800.0,163.45333,-0.00973
2020-02-05,162.33,3118200.0,161.12,0.02017
2020-02-04,157.24,4363900.0,158.06667,-0.01584
2020-02-03,156.59,3927100.0,157.76,-0.0215
2020-01-31,158.66,5740300.0,159.84667,-0.02062
2020-01-30,162.51,4357100.0,161.30333,0.00938
2020-01-29,162.0,5343900.0,163.33333,-0.02615
2020-01-28,165.58,8920700.0,167.65667,-0.03677
2020-01-27,175.63,4361400.0,177.25333,-0.02352
2020-01-24,178.15,2643100.0,178.49667,-0.0019
2020-01-23,177.74,2358400.0,177.52333,0.00378
2020-01-22,178.03,2420200.0,178.82667,-0.00824
2020-01-21,179.39,3367700.0,179.97667,-0.01353
2020-01-17,181.35,3690100.0,181.4,0.00193
2020-01-16,181.01,2149900.0,180.63333,0.00183
2020-01-15,179.78,2482200.0,180.27333,-0.00904
2020-01-14,181.37,2911200.0,181.37667,0.00249
2020-01-13,180.92,2090800.0,181.17,-0.00011
2020-01-10,180.47,2103800.0,180.93,-0.00628
2020-01-09,181.2,2746300.0,180.85,-0.00171
2020-01-08,180.63,2758300.0,179.92667,0.01478
2020-01-07,177.9,2173000.0,177.74333,-0.00213
2020-01-06,178.62,1998000.0,177.89333,0.0083
2020-01-03,178.45,2466900.0,177.58,0.00808
2020-01-02,180.0,3601700.0,179.05,0.01306
2019-12-31,176.42,1573500.0,176.02667,0.00679
2019-12-30,175.83,1715100.0,176.79333,-0.00807
2019-12-27,177.26,1472900.0,176.80667,0.00345
2019-12-26,176.59,1435200.0,176.25,0.00079
2019-12-24,176.68,1259500.0,177.13,-0.00892
2019-12-23,178.47,4876300.0,178.07,0.00996
2019-12-20,175.37,7513000.0,174.34667,0.00332
2019-12-19,172.15,2757600.0,171.29333,0.01492
2019-12-18,169.03,2270400.0,169.07333,-0.00442
2019-12-17,169.93,2672600.0,170.31,-0.00247
2019-12-16,170.75,2917200.0,169.92333,0.01071
2019-12-13,168.79,2098000.0,169.33,-0.00489
2019-12-12,168.56,2872400.0,168.58,0.01098
2019-12-11,168.74,1859000.0,168.30333,0.00214
2019-12-10,167.66,2670500.0,168.00667,-0.00869
2019-12-09,169.83,2058200.0,169.96,0.00254
2019-12-06,171.47,3880000.0,170.23667,0.02523
2019-12-05,164.37,3309300.0,164.98667,-0.01704
2019-12-04,167.14,2139200.0,167.33667,0.00433
2019-12-03,165.17,2702000.0,165.39,-0.00799
2019-12-02,168.27,2342200.0,169.40333,-0.01111
2019-11-29,169.77,942500.0,169.87,-0.00387
2019-11-27,170.61,1331500.0,170.49667,0.00359
2019-11-26,169.23,2610900.0,169.39667,-0.00336
2019-11-25,170.24,2761900.0,169.49,0.01051
2019-11-22,167.6,3268300.0,166.78333,0.01269
