,close,volume,vwap,changeOverTime
2015-05-18,17.45,1611500.0,17.38,0.01159
2015-05-19,17.78,2060800.0,17.7,0.01716
2015-05-20,17.64,2145700.0,17.69,-0.00899
2015-05-21,17.2,1205200.0,17.2,-0.00232
2015-05-22,17.39,1476200.0,17.31667,0.0134
2015-05-26,17.1,1671400.0,17.14333,-0.0127
2015-05-27,17.32,1747400.0,17.25667,0.01109
2015-05-28,17.2,1156100.0,17.23,-0.00521
2015-05-29,17.06,1435800.0,17.12,-0.00698
2015-06-01,17.09,1436500.0,17.12,-0.00117
2015-06-02,17.0,1508100.0,17.01667,-0.00176
2015-06-03,17.06,2674000.0,17.03667,0.00294
2015-06-04,16.92,2350600.0,16.97667,-0.00821
2015-06-05,16.83,3456700.0,16.90667,-0.00119
2015-06-08,16.61,1729500.0,16.69667,-0.01483
2015-06-09,16.63,1540600.0,16.62333,-0.00716
2015-06-10,15.93,18827400.0,15.96,-0.00375
2015-06-11,16.04,4143400.0,16.01333,0.00313
2015-06-12,16.01,2813200.0,16.03667,0.00063
2015-06-15,16.07,2605800.0,16.01333,0.00626
2015-06-16,16.07,2307800.0,16.07667,-0.00062
2015-06-17,16.05,2301800.0,16.01667,-0.00062
2015-06-18,16.23,3039200.0,16.23333,0.0087
2015-06-19,16.12,4686800.0,16.13667,-0.008
2015-06-22,16.12,4029000.0,16.10333,-0.00186
2015-06-23,16.0,2738300.0,16.03667,-0.00559
2015-06-24,15.81,3415400.0,15.88667,-0.01249
2015-06-25,15.4,5347500.0,15.54,-0.02716
2015-06-26,15.51,3807200.0,15.46667,0.0078
2015-06-29,15.34,3273500.0,15.38333,-0.00776
2015-06-30,15.24,2549500.0,15.32,-0.00975
2015-07-01,15.41,1907200.0,15.34333,0.01049
2015-07-02,15.3,1959400.0,15.36333,-0.01163
2015-07-06,15.36,1369700.0,15.35667,0.00458
2015-07-07,15.48,2384000.0,15.38667,0.00781
2015-07-08,15.24,1726400.0,15.32667,-0.01295
2015-07-09,15.11,3127200.0,15.18667,-0.01628
2015-07-10,15.49,3626000.0,15.51333,0.01908
2015-07-13,15.48,1365300.0,15.51,-0.00322
2015-07-14,15.54,1313600.0,15.56333,-0.00064
2015-07-15,15.53,1323800.0,15.49333,0.00129
2015-07-16,15.62,1874700.0,15.66,-0.00636
2015-07-17,15.74,1401900.0,15.72333,0.00639
2015-07-20,15.61,1143500.0,15.70333,-0.007
2015-07-21,15.73,2170000.0,15.7,0.00704
2015-07-22,15.82,937100.0,15.78667,0.00829
2015-07-23,15.76,1637000.0,15.79333,-0.00631
2015-07-24,15.43,1692900.0,15.54333,-0.02218
2015-07-27,15.32,1346200.0,15.33333,-0.00519
2015-07-28,15.38,1208900.0,15.32667,0.00261
2015-07-29,15.7,1406000.0,15.55667,0.02081
2015-07-30,15.74,1670400.0,15.69,0.00575
2015-07-31,15.69,4979300.0,15.73333,-0.00884
2015-08-03,15.74,1241900.0,15.70667,0.00255
2015-08-04,15.52,2596400.0,15.6,-0.01398
2015-08-05,15.22,4508100.0,15.23667,-0.02185
2015-08-06,14.61,6628400.0,14.67667,-0.03501
2015-08-07,14.46,3185400.0,14.5,-0.0055
2015-08-10,14.66,2522200.0,14.74667,-0.0061
2015-08-11,14.47,1644400.0,14.53333,-0.01026
2015-08-12,14.6,2315300.0,14.45333,0.00898
2015-08-13,14.54,1168100.0,14.57333,-0.00206
2015-08-14,14.68,963100.0,14.62333,0.01102
2015-08-17,15.07,2067100.0,14.94667,0.02587
2015-08-18,14.84,1576700.0,14.96,-0.01461
2015-08-19,15.07,2515600.0,14.98,0.0155
2015-08-20,14.85,2436300.0,14.96,-0.00469
2015-08-21,14.41,3407800.0,14.42333,-0.00621
2015-08-24,13.89,4769200.0,13.75333,0.01461
2015-08-25,13.82,3542900.0,13.93333,-0.01986
2015-08-26,14.08,2543300.0,13.99,0.00214
2015-08-27,14.23,1761000.0,14.18,0.00141
2015-08-28,14.29,2348600.0,14.35333,0.00705
2015-08-31,14.16,2227300.0,14.16667,-0.00701
2015-09-01,14.24,2638400.0,14.16667,0.02006
2015-09-02,14.21,1288900.0,14.21667,-0.00907
2015-09-03,14.14,1716900.0,14.16667,-0.00352
2015-09-04,14.03,918800.0,14.02,0.00143
2015-09-08,14.02,2806600.0,14.09667,-0.01752
2015-09-09,13.79,2083500.0,13.91333,-0.0192
2015-09-10,13.95,1474600.0,13.9,0.01381
2015-09-11,14.24,1849800.0,14.11,0.02668
2015-09-14,14.16,1342400.0,14.21,-0.00562
2015-09-15,14.25,1448200.0,14.19,0.00565
2015-09-16,14.39,1032200.0,14.35333,0.00912
2015-09-17,14.79,1631400.0,14.68667,0.0278
2015-09-18,14.5,5530500.0,14.57667,-0.00617
2015-09-21,14.44,1961800.0,14.61333,-0.01568
2015-09-22,14.54,2889800.0,14.55333,0.01183
2015-09-23,14.73,1995600.0,14.67667,0.01029
2015-09-24,14.5,2435600.0,14.58,-0.01428
2015-09-25,13.9,3190900.0,14.12333,-0.04598
2015-09-28,13.2,5992900.0,13.40333,-0.05104
2015-09-29,12.82,4479600.0,12.90667,-0.02805
2015-09-30,13.1,4699700.0,13.02333,0.0108
2015-10-01,12.4,3341000.0,12.51667,-0.02208
2015-10-02,12.81,5145900.0,12.66333,0.03641
2015-10-05,13.07,2651400.0,13.03667,0.01239
2015-10-06,12.92,2187800.0,13.01333,-0.01374
2015-10-07,13.05,1948200.0,13.08333,0.00385
2015-10-08,13.01,2285700.0,13.04667,-0.00307
2015-10-09,13.0,2094300.0,12.97667,-0.00383
2015-10-12,12.93,1157800.0,12.97,-0.00538
2015-10-13,12.61,1526200.0,12.72,-0.01715
2015-10-14,12.41,2232800.0,12.49667,-0.01897
2015-10-15,12.73,1713200.0,12.61,0.02661
2015-10-16,12.98,1582100.0,12.89333,0.01644
2015-10-19,13.0,1615300.0,13.05,-0.00763
2015-10-20,12.99,1394100.0,12.99667,0.00309
2015-10-21,12.79,1341100.0,12.91,-0.01917
2015-10-22,12.53,2036300.0,12.65,-0.02414
2015-10-23,12.41,2782200.0,12.42333,-0.01116
2015-10-26,12.41,1695000.0,12.43333,-0.00161
2015-10-27,12.04,3585200.0,12.08333,-0.02825
2015-10-28,12.28,2481600.0,12.18,0.01993
2015-10-29,12.1,1377900.0,12.12333,-0.00901
2015-10-30,12.13,1900400.0,12.13,-0.00736
2015-11-02,12.41,2886600.0,12.28333,0.02393
2015-11-03,12.41,3223200.0,12.5,-0.01116
2015-11-04,12.11,3941600.0,12.18667,-0.0226
2015-11-05,12.2,3063800.0,12.10667,0.00743
2015-11-06,12.85,7323000.0,12.66,0.05936
2015-11-09,12.84,4335100.0,12.84,0.00548
2015-11-10,13.01,2850800.0,12.94667,0.01324
2015-11-11,12.71,2276700.0,12.80667,-0.02306
2015-11-12,12.21,2245000.0,12.37333,-0.03631
2015-11-13,12.07,2190500.0,12.11,-0.01066
